symbol,baseCoin,quoteCoin,fundingInterval,launchTime
NEARUSDT,NEAR,USDT,480,2021-10-11 00:00:00
NEIROETHUSDT,NEIROETH,USDT,240,2024-08-15 09:08:49
NEOUSDT,NEO,USDT,480,2022-01-30 02:20:29
NFPUSDT,NFP,USDT,240,2023-12-27 10:30:25
NILUSDT,NIL,USDT,240,2025-03-20 10:55:46
NKNUSDT,NKN,USDT,240,2023-02-21 06:18:51
NMRUSDT,NMR,USDT,240,2023-09-04 05:16:32
NOTPERP,NOT,USDC,480,2024-09-18 10:05:48
NOTUSDT,NOT,USDT,240,2024-05-16 15:41:23
NSUSDT,NS,USDT,480,2024-12-20 08:39:10
NTRNUSDT,NTRN,USDT,240,2023-10-10 11:14:38
NXPCUSDT,NXPC,USDT,240,2025-05-15 06:19:25
OBOLUSDT,OBOL,USDT,240,2025-05-07 11:29:28
OBTUSDT,OBT,USDT,240,2025-04-25 09:18:13
OGNUSDT,OGN,USDT,480,2022-03-19 06:30:19
OGUSDT,OG,USDT,480,2023-08-28 08:19:57
OLUSDT,OL,USDT,480,2024-11-21 08:49:56
OMGUSDT,OMG,USDT,480,2021-10-12 00:00:00
OMNIUSDT,OMNI,USDT,240,2024-04-17 12:57:21
OMUSDT,OM,USDT,240,2024-03-18 06:31:41
ONDOPERP,ONDO,USDC,480,2024-05-08 08:27:49
ONDOUSDT,ONDO,USDT,240,2024-01-22 10:29:52
ONEUSDT,ONE,USDT,480,2021-10-25 00:00:00
ONGUSDT,ONG,USDT,240,2023-11-28 07:14:23
ONTUSDT,ONT,USDT,240,2022-06-06 06:37:00
OPPERP,OP,USDC,480,2022-09-01 00:00:00
OPUSDT,OP,USDT,480,2022-06-01 04:51:03
ORBSUSDT,ORBS,USDT,240,2023-10-09 07:45:42
ORCAUSDT,ORCA,USDT,120,2024-04-01 09:22:09
ORDERUSDT,ORDER,USDT,480,2024-08-27 09:02:16
ORDIPERP,ORDI,USDC,480,2024-04-22 13:30:03
ORDIUSDT,ORDI,USDT,240,2023-05-22 07:10:10
OSMOUSDT,OSMO,USDT,480,2024-05-30 09:08:43
OXTUSDT,OXT,USDT,480,2023-08-10 04:52:51
PARTIUSDT,PARTI,USDT,240,2025-03-25 13:08:54
PAXGUSDT,PAXG,USDT,240,2022-03-14 08:07:06
PEAQUSDT,PEAQ,USDT,480,2024-11-19 08:31:41
PENDLEUSDT,PENDLE,USDT,480,2023-07-05 07:26:42
PENGUUSDT,PENGU,USDT,240,2024-12-17 14:22:26
PEOPLEUSDT,PEOPLE,USDT,480,2021-12-29 03:37:04
PERPUSDT,PERP,USDT,240,2023-09-06 06:31:05
PHAUSDT,PHA,USDT,240,2024-05-31 10:02:00
PHBUSDT,PHB,USDT,480,2023-05-18 07:57:25
PIPPINUSDT,PIPPIN,USDT,240,2025-01-17 08:38:42
PIXELUSDT,PIXEL,USDT,240,2024-02-20 08:06:10
PLUMEUSDT,PLUME,USDT,240,2025-01-24 06:45:00
PNUTUSDT,PNUT,USDT,240,2024-11-11 08:16:46
POLPERP,POL,USDC,480,2024-09-18 10:10:49
POLUSDT,POL,USDT,240,2024-09-05 08:30:13
POLYXUSDT,POLYX,USDT,240,2023-10-24 06:46:36
PONKEUSDT,PONKE,USDT,240,2024-06-07 08:35:07
POPCATPERP,POPCAT,USDC,480,2024-09-18 10:00:13
POPCATUSDT,POPCAT,USDT,240,2024-03-28 07:01:59
PORTALUSDT,PORTAL,USDT,240,2024-03-01 03:40:58
POWRUSDT,POWR,USDT,240,2023-10-24 07:01:22
PRCLUSDT,PRCL,USDT,480,2024-07-17 09:31:26
PRIMEUSDT,PRIME,USDT,480,2024-09-30 07:52:41
PROMPTUSDT,PROMPT,USDT,240,2025-04-10 14:06:05
PROMUSDT,PROM,USDT,240,2023-09-05 05:29:56
PUFFERUSDT,PUFFER,USDT,480,2024-10-14 12:37:01
PUMPUSDT,PUMP,USDT,240,2025-04-11 08:16:34
PUNDIXUSDT,PUNDIX,USDT,240,2025-04-30 11:12:00
PYRUSDT,PYR,USDT,480,2024-10-07 08:19:21
PYTHUSDT,PYTH,USDT,240,2023-11-21 05:09:10
QIUSDT,QI,USDT,480,2023-12-12 07:12:19
QNTUSDT,QNT,USDT,480,2023-06-19 06:00:00
QTUMUSDT,QTUM,USDT,480,2021-12-13 00:49:26
