symbol,funding_interval_minutes,funding_events_per_day,mean_rate_per_interval,mean_abs_rate_per_interval,std_rate_per_interval,mean_daily_rate,mean_daily_abs_rate,std_daily_rate,max_abs_rate,max_daily_abs_rate,count,positive_count,negative_count,positive_pct,mean_positive,mean_negative,first_date,last_date,max_timestamp,max_rate_value,sharpe_ratio,annual_return
AIOZUSDT,480,3.0,-0.1854164375,0.1854164375,0.09103900688530439,-0.5562493125,0.5562493125,0.2731170206559132,0.325339,0.976017,16,0,16,0.0,0.0,-0.1854164375,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 08:00:00+00:00,-0.325339,2.0366702564494923,-86.9447235885731
AIUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
AIXBTUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
AKTUSDT,240,6.0,0.01158540625,0.01158540625,0.012596994748772617,0.0695124375,0.0695124375,0.07558196849263571,0.060765000000000007,0.3645900000000001,32,32,0,100.0,0.01158540625,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-13 08:00:00+00:00,0.060765000000000007,0.9196960450530328,28.869780378780497
ALCHUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
ALEOUSDT,480,3.0,-0.00031999999999999965,0.014781125,0.025179067864663562,-0.0009600000000000017,0.044343375,0.0755372035939907,0.084536,0.253608,16,13,3,81.25,0.008899153846153848,-0.04026966666666667,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-12 00:00:00+00:00,-0.084536,0.5870401986065539,-0.3497884916579985
ALGOUSDT,480,3.0,0.006608874999999999,0.00895575,0.006719110545054805,0.019826625,0.026867250000000002,0.020157331635164415,0.011869000000000001,0.035607,16,13,3,81.25,0.009578230769230773,-0.006258333333333333,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-16 00:00:00+00:00,-0.011869000000000001,1.332877311654195,7.5042298463304125
ALICEUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,16,16,0,100.0,0.01,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,0.0,11.570174904772411
ALPHAUSDT,240,6.0,0.0050715,0.0050715,0.0003869696995723267,0.030429000000000005,0.030429000000000005,0.0023218181974339587,0.00719,0.04314,32,32,0,100.0,0.0050715,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-12 12:00:00+00:00,0.00719,13.105677280688777,11.744961061138625
ALTUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
ALUUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
ANIMEUSDT,120,12.0,0.002471953125,0.002471953125,0.000224375,0.029663437499999997,0.029663437499999997,0.0026925000000000004,0.0025,0.030000000000000002,64,64,0,100.0,0.002471953125,0.0,2025-05-10 18:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 18:00:00+00:00,0.0025,11.017061281337044,11.433241150009987
ANKRUSDT,480,3.0,0.0097443125,0.0097443125,0.0010227500000000002,0.029232937500000004,0.029232937500000004,0.003068250000000001,0.01,0.030000000000000002,16,16,0,100.0,0.0097443125,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,9.527560498655584,11.258332275173256
APEUSDT,480,3.0,0.009804562499999999,0.009804562499999999,0.0007817500000000001,0.029413687500000004,0.029413687500000004,0.0023452500000000005,0.01,0.030000000000000002,16,16,0,100.0,0.009804562499999999,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,12.541813239526702,11.33173625570647
