symbol,funding_interval_minutes,funding_events_per_day,mean_rate_per_interval,mean_abs_rate_per_interval,std_rate_per_interval,mean_daily_rate,mean_daily_abs_rate,std_daily_rate,max_abs_rate,count,positive_count,negative_count,positive_pct,mean_positive,mean_negative,first_date,last_date,sharpe_ratio,annual_return
AEVOUSDT,240,6.0,-0.008262400485436893,0.022248256067961162,0.06560614585519477,-0.04957440291262135,0.133489536407767,0.39363687513116863,0.928664,1648,1341,307,81.37135922330097,0.008593844146159584,-0.08189179478827362,2024-03-13 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.3391184740080189,-16.555749604607062
AGIUSDT,480,3.0,0.01186631050531915,0.020068561835106385,0.03881328314299096,0.035598931515957444,0.06020568550531914,0.1164398494289729,0.453031,1504,1373,131,91.28989361702128,0.017490913328477787,-0.047084679389312975,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.5170539622008357,13.872928404503693
AGLDUSDT,480,3.0,-0.01033385305851064,0.030283459441489358,0.10680630720509021,-0.03100155917553192,0.09085037832446809,0.3204189216152707,1.6913870000000002,1504,1153,351,76.6622340425532,0.01301136513443192,-0.08702056695156696,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.2835362464441248,-10.700405110788868
AI16ZUSDT,240,6.0,0.006683056097560975,0.007479168292682926,0.0105427956668542,0.04009833658536585,0.04487500975609755,0.0632567740011252,0.089251,820,754,66,91.95121951219512,0.007700944297082227,-0.004945545454545454,2024-12-30 12:00:00+00:00,2025-05-16 00:00:00+00:00,0.7094103432353241,15.757765424724312
AIOZUSDT,480,3.0,-0.01765811584158416,0.03621063861386138,0.06997052037005116,-0.052974347524752476,0.10863191584158415,0.20991156111015352,0.649701,1010,717,293,70.99009900990099,0.01306697907949791,-0.09284546416382254,2024-06-13 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.5175127814164475,-17.585401722047745
AIUSDT,240,6.0,0.01411523377337734,0.01417679702970297,0.022326881932691566,0.08469140264026402,0.08506078217821782,0.1339612915961494,0.19084399999999999,1818,1810,8,99.55995599559955,0.01420853922651934,-0.006995125,2024-01-17 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.6349653781679634,36.20525540641286
AIXBTUSDT,240,6.0,0.004912697007481298,0.007862684538653367,0.01243978670697662,0.029476182044887778,0.04717610723192019,0.07463872024185972,0.115805,802,718,84,89.52618453865337,0.00713499721448468,-0.014082678571428569,2024-12-20 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.6320594334823866,11.35712701077749
AKTUSDT,240,6.0,-0.008039694673668414,0.030279186046511627,0.08130946865277527,-0.04823816804201051,0.18167511627906976,0.48785681191665164,1.215787,1333,1062,271,79.66991747936984,0.013957270244821093,-0.09424182287822877,2024-06-26 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.3723943416210989,-16.147576331174427
ALCHUSDT,240,6.0,0.007819786150712833,0.007935610997963343,0.003184834205323669,0.046918716904276986,0.04761366598778004,0.019109005231942013,0.025505,491,488,3,99.38900203665987,0.00792612704918033,-0.009478333333333333,2025-01-07 08:00:00+00:00,2025-05-16 00:00:00+00:00,2.4916873175685006,18.674368162197386
ALEOUSDT,480,3.0,-0.0017682304469273725,0.026745568435754194,0.04914207448591265,-0.005304691340782126,0.08023670530726257,0.14742622345773798,0.475407,716,573,143,80.02793296089385,0.015605387434554975,-0.07138419580419579,2024-09-19 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.5442498859795026,-1.9176385153259146
ALGOUSDT,480,3.0,0.01079444880319149,0.013297456781914893,0.017105492732592913,0.032383346409574465,0.039892370345744686,0.051316478197778743,0.225726,1504,1311,193,87.16755319148936,0.013819308161708621,-0.009752652849740931,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.7773793476628613,12.544676368033848
ALICEUSDT,480,3.0,0.01666314627659575,0.019557910904255325,0.03177318080193841,0.04998943882978722,0.05867373271276595,0.09531954240581522,0.475033,1504,1471,33,97.80585106382979,0.01851681509177431,-0.06596554545454546,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.6155477799396821,20.011317061601464
ALPHAUSDT,240,6.0,0.007693795477219821,0.010075993681410043,0.02171925595736932,0.04616277286331892,0.060455962088460255,0.1303155357442159,0.695156,3007,2817,190,93.68141004323246,0.009484159744408945,-0.018850710526315786,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.4639198369035874,18.347525583545597
ALTUSDT,240,6.0,0.008015212611607142,0.012731055245535715,0.022303250553691617,0.04809127566964285,0.07638633147321429,0.13381950332214967,0.435354,1792,1552,240,86.60714285714286,0.011977226804123713,-0.0176058125,2024-01-25 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.5708161334998088,19.183121642036927
ALUUSDT,240,6.0,0.004566486301369864,0.0053203630136986315,0.004368302756727705,0.02739891780821917,0.03192217808219178,0.02620981654036622,0.0683,730,720,10,98.63013698630137,0.0050120833333333345,-0.027516500000000003,2025-01-14 12:00:00+00:00,2025-05-16 00:00:00+00:00,1.2179474065767626,10.51624659976147
ANIMEUSDT,120,12.0,-0.01635418959107807,0.020303184386617098,0.08189787207107295,-0.19625027509293677,0.2436382126394052,0.9827744648528755,0.66,1345,1077,268,80.07434944237917,0.00246583008356546,-0.0919853880597015,2025-01-23 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.24790857043266648,-51.179374496583186
ANKRUSDT,480,3.0,0.011149396276595747,0.015609259308510638,0.023348120664928144,0.033448188829787236,0.046827777925531916,0.07004436199478443,0.31773,1504,1330,174,88.43085106382979,0.015129706015037598,-0.019274810344827586,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.6685445707824244,12.982807600543866
APEUSDT,480,3.0,0.009302441489361704,0.014645635638297873,0.02880032398904833,0.027907324468085106,0.04393690691489362,0.08640097196714497,0.666598,1504,1243,261,82.64627659574468,0.014488297666934836,-0.015394950191570882,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.5085232945249871,10.721463465527181
API3USDT,240,6.0,-0.012057035905680599,0.03484334030010718,0.1566312850653668,-0.0723422154340836,0.20906004180064308,0.9397877103922009,3.0,1866,1588,278,85.10182207931403,0.013387671284634762,-0.1574030611510791,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.2224545389228342,-23.213753346311705
APTUSDT,480,3.0,0.01119113430851064,0.014389269946808513,0.01954515155883076,0.03357340292553191,0.04316780984042552,0.05863545467649227,0.148224,1504,1243,261,82.64627659574468,0.015475835880933228,-0.00921455172413793,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.7362066189917696,13.034438792489755
ARBPERP,480,3.0,0.009167552200172565,0.010616924072476275,0.007536716972654588,0.027502656600517685,0.03185077221742881,0.022610150917963763,0.081449,1159,1130,29,97.49784296807593,0.010146109734513277,-0.02896244827586207,2024-04-25 00:00:00+00:00,2025-05-16 00:00:00+00:00,1.4086934816575405,10.558089635000357
ARBUSDT,480,3.0,0.012892281250000002,0.013992266622340427,0.016963903619744508,0.03867684375,0.041976799867021276,0.050891710859233524,0.128078,1504,1363,141,90.625,0.01483285399853265,-0.005866588652482269,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.8248258735716139,15.158952834831595
